Customer ID,Customer Name,Segment,City,State,Country,Region,Gender,Age,Education,Marital Status,Order ID,Order Date,Months,Ship Mode,Product Category,Product,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Browsing Time (min),Like,Share,Add to Cart
AN-0014,Johnson Abelman,Corporate,Kamina,Katanga,Democratic Republic of the Congo,Africa,Male,37,Doctorate,Married,AU-2024-14,2024/7/22,Jul,First Class,Auto & Accessories,Tyre,$250.00 ,3,0.04,$140.00 ,$14.00 ,High,1.7,1,1,1
EY-0015,Greene Decherney,Consumer,Brisbane,Queensland,Australia,Oceania,Female,48,Doctorate,Single,AU-2024-15,2022/12/15,Oct,First Class,Auto & Accessories,Bike Tyres,$72.00 ,4,0.01,$18.00 ,$1.80 ,Medium,17.4,1,1,1
RN-0016,Bentley Zypern,Consumer,Berlin,Berlin,Germany,Central,Female,48,Doctorate,Married,AU-2024-16,2022/2/23,Feb,First Class,Auto & Accessories,Car Mat,$54.00 ,2,0.01,$27.00 ,$2.70 ,Critical,25.3,0,0,1
CK-0017,Rivera Black,Consumer,Shouguang,Shandong,China,North Asia,Male,53,Doctorate,Single,AU-2024-17,2022/4/15,May,First Class,Auto & Accessories,Car Seat Covers,$114.00 ,2,0.05,$22.60 ,$2.30 ,High,1.3,1,1,1
RE-0018,Wong Macintyre,Consumer,New York City,New York,United States,East,Male,33,Bachelor,Married,AU-2024-18,2023/12/15,Jun,First Class,Auto & Accessories,Car Pillow & Neck Rest,$231.00 ,5,0.05,$93.30 ,$9.30 ,High,8.2,0,0,0
ON-0019,Hendricks Wilson,Consumer,Behshahr,Mazandaran,Iran,EMEA,Female,21,High School,Single,AU-2024-19,2023/5/13,May,First Class,Auto & Accessories,Car Media Players,$140.00 ,2,0.05,$46.00 ,$4.60 ,Critical,38,1,0,1
ED-0011,Johns Reed,Corporate,Taipei,Taipei City,Taiwan,North Asia,Male,43,Master,Single,AU-2024-20,2023/7/27,Jul,First Class,Auto & Accessories,Car Speakers,$211.00 ,2,0.02,$122.60 ,$12.30 ,Critical,14.4,0,0,1
AM-0021,Barr Sundaresam,Consumer,Bhopal,Madhya Pradesh,India,Central Asia,Male,42,Doctorate,Married,AU-2024-21,2023/9/15,Dec,First Class,Auto & Accessories,Car Body Covers,$117.00 ,5,0.01,$31.20 ,$3.10 ,Critical,12.9,1,1,1
KE-0022,Holt Glocke,Corporate,Seattle,Washington,United States,West,Male,31,Bachelor,Married,AU-2024-22,2023/9/15,Feb,First Class,Auto & Accessories,Car & Bike Care,$118.00 ,2,0.03,$30.90 ,$3.10 ,High,4.2,0,0,0
LL-0023,Gaines O'Carroll,Consumer,Geraldton,Western Australia,Australia,Oceania,Male,27,Bachelor,Married,AU-2024-23,2024/7/20,Jul,First Class,Auto & Accessories,Tyre,$250.00 ,4,0.02,$150.00 ,$15.00 ,High,19.6,1,1,1
CO-0024,Copeland Lomonaco,Corporate,Celle,Lower Saxony,Germany,Central,Male,27,Bachelor,Single,AU-2024-24,2023/11/22,Nov,First Class,Auto & Accessories,Bike Tyres,$72.00 ,4,0.02,$18.00 ,$1.80 ,Critical,22.8,0,0,1
NA-0025,Vasquez Dona,Consumer,Seville,Andalusía,Spain,South,Male,27,Associate Degree,Single,AU-2024-25,2022/2/22,Feb,First Class,Auto & Accessories,Car Mat,$54.00 ,1,0.05,$54.00 ,$5.40 ,High,20.1,1,1,1
LL-0026,Freeman Castell,Corporate,Raipur,Uttarakhand,India,Central Asia,Male,28,Associate Degree,Married,AU-2024-26,2022/6/15,Apr,First Class,Auto & Accessories,Car Seat Covers,$114.00 ,4,0.02,$24.90 ,$2.50 ,Critical,20,1,1,1
LE-0027,Reid Engle,Home Office,Kharkiv,Kharkiv,Ukraine,EMEA,Male,27,Master,Married,AU-2024-27,2024/7/27,Jul,First Class,Auto & Accessories,Car Pillow & Neck Rest,$231.00 ,1,0.03,$144.10 ,$14.40 ,Critical,2.9,0,0,0
NG-0028,Harris Armstrong,Corporate,Jinan,Shandong,China,North Asia,Female,67,Doctorate,Married,AU-2024-28,2024/9/29,Sep,First Class,Auto & Accessories,Car Media Players,$140.00 ,1,0.03,$55.80 ,$5.60 ,High,27.9,0,0,0
ED-0029,Everett Sweed,Consumer,Chinandega,Chinandega,Nicaragua,Central,Male,57,Doctorate,Single,AU-2024-29,2024/11/15,Apr,First Class,Auto & Accessories,Car Speakers,$211.00 ,3,0.03,$112.00 ,$11.20 ,Medium,6.7,0,0,1
AS-0030,Poole Lucas,Corporate,Palembang,Sumatera Selatan,Indonesia,Southeast Asia,Female,23,High School,Single,AU-2024-30,2024/1/23,Jan,First Class,Auto & Accessories,Car Body Covers,$117.00 ,1,0.02,$34.70 ,$3.50 ,High,24.5,0,1,1
WN-0031,Gonzales Brown,Consumer,Duisburg,North Rhine-Westphalia,Germany,Central,Male,34,Master,Married,AU-2024-31,2022/3/31,Mar,First Class,Auto & Accessories,Car & Bike Care,$118.00 ,3,0.03,$27.40 ,$2.70 ,Critical,19.4,1,1,1
AN-0032,Perry Brennan,Consumer,Tongi,Dhaka,Bangladesh,Central Asia,Female,19,Associate Degree,Married,AU-2024-32,2023/11/24,Nov,First Class,Auto & Accessories,Tyre,$250.00 ,1,0.02,$165.00 ,$16.50 ,Medium,21.2,1,0,1
KI-0033,Garner Hirasaki,Consumer,Suzhou,Anhui,China,North Asia,Female,20,High School,Single,AU-2024-33,2023/8/24,Aug,First Class,Auto & Accessories,Bike Tyres,$72.00 ,4,0.05,$18.00 ,$1.80 ,High,21.5,0,0,1
EE-0034,Norton Magee,Corporate,Henderson,Nevada,United States,West,Male,43,Master,Married,AU-2024-34,2022/4/15,May,First Class,Auto & Accessories,Car Mat,$54.00 ,4,0.05,$13.50 ,$1.40 ,Critical,11.8,1,1,1
ON-0035,Bean Thompson,Corporate,Manila,National Capital,Philippines,Southeast Asia,Male,24,Bachelor,Married,AU-2024-35,2024/7/15,Jul,First Class,Auto & Accessories,Car Seat Covers,$114.00 ,4,0.01,$29.40 ,$2.90 ,High,12.6,1,1,1
SH-0036,Bond Overcash,Consumer,Graz,Styria,Austria,Central,Male,54,Doctorate,Married,AU-2024-36,2022/3/15,Oct,First Class,Auto & Accessories,Car Pillow & Neck Rest,$231.00 ,2,0.05,$127.90 ,$12.80 ,High,15.3,1,1,1
KE-0022,Holt Glocke,Corporate,Seattle,Washington,United States,West,Male,31,Bachelor,Married,AU-2024-37,2024/6/28,Jun,First Class,Auto & Accessories,Car Media Players,$140.00 ,5,0.04,$32.00 ,$3.20 ,Medium,15.6,1,1,1
YD-0038,Moran Lloyd,Consumer,Augsburg,Bavaria,Germany,Central,Female,21,Associate Degree,Single,AU-2024-38,2023/1/15,Aug,First Class,Auto & Accessories,Car Speakers,$211.00 ,4,0.01,$122.60 ,$12.30 ,Critical,17.5,0,0,1
MS-0039,Jones Adams,Home Office,Medellín,Antioquia,Colombia,South,Male,34,Bachelor,Married,AU-2024-39,2024/7/15,Jun,First Class,Auto & Accessories,Car Body Covers,$117.00 ,1,0.04,$32.30 ,$3.20 ,High,14.2,1,1,1
RE-0018,Wong Macintyre,Consumer,New York City,New York,United States,East,Male,33,Bachelor,Married,AU-2024-40,2022/8/16,Aug,First Class,Auto & Accessories,Car & Bike Care,$118.00 ,5,0.04,$14.40 ,$1.40 ,Critical,18.4,1,1,1
ER-0041,Strong Schoenberger,Corporate,Los Angeles,California,United States,West,Male,22,Bachelor,Married,AU-2024-41,2023/9/15,Jul,First Class,Auto & Accessories,Tyre,$250.00 ,5,0.03,$132.50 ,$13.30 ,Critical,13.5,0,0,1
IN-0042,Terrell Zeldin,Consumer,Zigong,Sichuan,China,North Asia,Male,24,Bachelor,Single,AU-2024-42,2022/2/25,Feb,First Class,Auto & Accessories,Bike Tyres,$72.00 ,5,0.02,$14.40 ,$1.40 ,Critical,9.6,1,1,1
EN-0043,Reyes Christensen,Consumer,Adelaide,South Australia,Australia,Oceania,Male,18,High School,Single,AU-2024-43,2024/10/26,Oct,First Class,Auto & Accessories,Car Mat,$54.00 ,5,0.01,$10.80 ,$1.10 ,High,1,1,1,0
DI-0044,Dean Etezadi,Consumer,Kuantan,Pahang,Malaysia,Southeast Asia,Male,61,Doctorate,Single,AU-2024-44,2023/12/22,Dec,First Class,Auto & Accessories,Car Seat Covers,$114.00 ,4,0.04,$15.80 ,$1.60 ,Critical,18.5,1,1,1
TT-0045,Hess Prescott,Home Office,Harrisonburg,Virginia,United States,South,Male,34,Bachelor,Single,AU-2024-45,2022/4/24,Apr,First Class,Auto & Accessories,Car Pillow & Neck Rest,$231.00 ,4,0.04,$114.00 ,$11.40 ,High,18.6,0,1,0
ER-0046,Russo Webber,Consumer,Everett,Massachusetts,United States,East,Male,19,High School,Single,AU-2024-46,2022/9/20,Sep,First Class,Auto & Accessories,Car Media Players,$140.00 ,2,0.05,$46.00 ,$4.60 ,Critical,24.3,1,1,1
CH-0047,Kerr Toch,Corporate,Vadodara,Gujarat,India,Central Asia,Male,37,Master,Single,AU-2024-47,2023/12/15,Mar,First Class,Auto & Accessories,Car Speakers,$211.00 ,1,0.01,$128.90 ,$12.90 ,Critical,2.3,0,0,0
CK-0048,Anthony Myrick,Consumer,Sanya,Hainan,China,North Asia,Male,22,High School,Single,AU-2024-48,2023/3/30,Mar,First Class,Auto & Accessories,Car Body Covers,$117.00 ,4,0.05,$13.60 ,$1.40 ,Critical,18.3,1,1,1
TT-0049,Fuller Eplett,Corporate,San Diego,California,United States,West,Female,28,Associate Degree,Single,AU-2024-49,2023/7/23,Jul,First Class,Auto & Accessories,Car & Bike Care,$118.00 ,5,0.04,$14.40 ,$1.40 ,Critical,26.7,1,0,0
RS-0050,Hernandez Badders,Home Office,Guaymas,Sonora,Mexico,North,Male,23,Bachelor,Single,AU-2024-50,2023/1/25,Jan,First Class,Auto & Accessories,Tyre,$250.00 ,2,0.01,$165.00 ,$16.50 ,Medium,17.8,1,1,1
AN-0051,Smith Abelman,Consumer,Wuhan,Hubei,China,North Asia,Male,61,Doctorate,Married,AU-2024-51,2022/5/15,Jun,First Class,Auto & Accessories,Bike Tyres,$72.00 ,2,0.01,$36.00 ,$3.60 ,Critical,9.5,1,1,1
LE-0052,Mcdowell Roelle,Consumer,Madison,Wisconsin,United States,Central,Male,37,Master,Married,AU-2024-52,2024/11/27,Nov,First Class,Auto & Accessories,Car Mat,$54.00 ,5,0.03,$10.80 ,$1.10 ,High,28.2,1,1,1
IS-0053,Humphrey Preis,Home Office,Salto,São Paulo,Brazil,South,Male,43,Master,Single,AU-2024-53,2023/6/19,Jun,First Class,Auto & Accessories,Car Seat Covers,$114.00 ,4,0.05,$11.20 ,$1.10 ,High,2,1,1,1
LY-0054,Winters Shonely,Consumer,Hargeysa,Woqooyi Galbeed,Somalia,Africa,Female,21,High School,Single,AU-2024-54,2023/10/14,Oct,First Class,Auto & Accessories,Car Pillow & Neck Rest,$231.00 ,2,0.04,$132.50 ,$13.30 ,High,27.3,0,0,0
NT-0055,Heath O'Briant,Home Office,Perth,Western Australia,Australia,Oceania,Male,39,Master,Single,AU-2024-55,2022/1/15,Jul,First Class,Auto & Accessories,Car Media Players,$140.00 ,2,0.03,$51.60 ,$5.20 ,High,11.8,1,1,1
IE-0056,Clayton Marie,Consumer,Anshan,Liaoning,China,North Asia,Male,24,Bachelor,Married,AU-2024-56,2023/11/15,Aug,First Class,Auto & Accessories,Car Speakers,$211.00 ,1,0.01,$128.90 ,$12.90 ,Critical,5.5,1,0,1
SS-0057,Steele Gross,Consumer,Amsterdam,North Holland,Netherlands,Central,Female,19,Associate Degree,Single,AU-2024-57,2022/1/15,Sep,First Class,Auto & Accessories,Car Body Covers,$117.00 ,4,0.02,$27.60 ,$2.80 ,High,28.1,0,1,1
ON-0058,Trujillo Sheldon,Consumer,Le Petit-Quevilly,Upper Normandy,France,Central,Female,49,Doctorate,Married,AU-2024-58,2024/2/16,Feb,First Class,Auto & Accessories,Car & Bike Care,$118.00 ,3,0.05,$20.30 ,$2.00 ,Critical,18.4,1,0,0
EN-0059,Kelly Braden,Corporate,Detroit,Michigan,United States,Central,Female,46,Doctorate,Married,AU-2024-59,2022/6/15,Jan,First Class,Auto & Accessories,Tyre,$250.00 ,1,0.04,$160.00 ,$16.00 ,Medium,10.4,0,0,1
ON-0060,Yates Johnson,Consumer,Hamburg,Hamburg,Germany,Central,Female,52,Doctorate,Married,AU-2024-60,2024/4/15,Sep,First Class,Auto & Accessories,Bike Tyres,$72.00 ,2,0.03,$36.00 ,$3.60 ,High,21,1,0,0
KS-0061,Flores Brooks,Home Office,Morelia,Michoacán,Mexico,North,Female,22,Associate Degree,Married,AU-2024-61,2024/12/27,Dec,First Class,Auto & Accessories,Car Mat,$54.00 ,5,0.01,$10.80 ,$1.10 ,High,9,0,1,0
ON-0062,Sellers Stevenson,Consumer,Changchun,Jilin,China,North Asia,Female,23,Bachelor,Single,AU-2024-62,2023/3/27,Mar,First Class,Auto & Accessories,Car Seat Covers,$114.00 ,3,0.01,$30.60 ,$3.10 ,High,9.1,0,0,1
EY-0063,Carpenter Decherney,Corporate,Madrid,Madrid,Spain,South,Male,26,Associate Degree,Single,AU-2024-63,2023/8/27,Aug,First Class,Auto & Accessories,Car Pillow & Neck Rest,$231.00 ,5,0.02,$127.90 ,$12.80 ,Medium,16.9,1,1,1
ED-0011,Johns Reed,Corporate,Taipei,Taipei City,Taiwan,North Asia,Male,43,Master,Single,AU-2024-64,2022/8/24,Aug,First Class,Auto & Accessories,Car Media Players,$140.00 ,1,0.05,$53.00 ,$5.30 ,Critical,6,1,1,1
RE-0065,Knox Sayre,Consumer,Newcastle,New South Wales,Australia,Oceania,Male,20,High School,Married,AU-2024-65,2024/9/15,Apr,First Class,Auto & Accessories,Car Speakers,$211.00 ,2,0.05,$109.90 ,$11.00 ,Medium,17.6,1,1,1
LL-0066,Leblanc Spruell,Consumer,Surakarta,Jawa Tengah,Indonesia,Southeast Asia,Male,24,High School,Married,AU-2024-66,2022/8/20,Aug,First Class,Auto & Accessories,Car Body Covers,$117.00 ,1,0.02,$34.70 ,$3.50 ,High,18.5,1,1,1
SS-0067,Berg Weiss,Home Office,New York City,New York,United States,East,Female,26,Bachelor,Single,AU-2024-67,2023/8/15,Feb,First Class,Auto & Accessories,Car & Bike Care,$118.00 ,1,0.01,$36.80 ,$3.70 ,High,3.6,0,0,1
EN-0059,Kelly Braden,Corporate,Detroit,Michigan,United States,Central,Female,46,Doctorate,Married,AU-2024-68,2024/11/26,Nov,First Class,Auto & Accessories,Tyre,$250.00 ,1,0.01,$167.50 ,$16.80 ,High,27,1,0,1
LO-0069,Sanford Zydlo,Corporate,London,England,United Kingdom,North,Male,52,Doctorate,Married,AU-2024-69,2024/5/19,May,First Class,Auto & Accessories,Bike Tyres,$72.00 ,1,0.02,$72.00 ,$7.20 ,High,14.1,0,0,1
ER-0046,Russo Webber,Consumer,Everett,Massachusetts,United States,East,Male,19,High School,Single,AU-2024-70,2024/7/23,Jul,First Class,Auto & Accessories,Car Mat,$54.00 ,1,0.03,$54.00 ,$5.40 ,Critical,3.1,0,0,1
NT-0071,Ferguson Conant,Corporate,Aurangabad,Bihar,India,Central Asia,Male,24,Associate Degree,Single,AU-2024-71,2022/6/15,Mar,First Class,Auto & Accessories,Car Seat Covers,$114.00 ,4,0.03,$20.30 ,$2.00 ,Medium,12.6,1,1,1
ON-0072,Santiago Grayson,Corporate,Los Angeles,California,United States,West,Female,30,Bachelor,Married,AU-2024-72,2023/9/20,Sep,First Class,Auto & Accessories,Car Pillow & Neck Rest,$231.00 ,3,0.05,$116.40 ,$11.60 ,Medium,33,0,0,0
RT-0073,Foley Stewart,Consumer,Marikina,National Capital,Philippines,Southeast Asia,Female,42,Doctorate,Married,AU-2024-73,2024/7/15,Oct,First Class,Auto & Accessories,Car Media Players,$140.00 ,4,0.05,$32.00 ,$3.20 ,High,8.8,1,1,0
EP-0074,Dorsey Prichep,Home Office,Johannesburg,Gauteng,South Africa,Africa,Male,22,Bachelor,Single,AU-2024-74,2022/5/30,May,First Class,Auto & Accessories,Car Speakers,$211.00 ,5,0.01,$120.50 ,$12.00 ,Critical,10.1,0,1,1
AN-0075,Miranda Ryan,Home Office,Providence,Rhode Island,United States,East,Male,23,Associate Degree,Married,AU-2024-75,2023/12/19,Dec,First Class,Auto & Accessories,Car Body Covers,$117.00 ,4,0.01,$32.30 ,$3.20 ,High,27,1,1,1
CH-0076,Parsons Leinenbach,Corporate,Qingdao,Shandong,China,North Asia,Female,25,High School,Single,AU-2024-76,2022/3/15,Dec,First Class,Auto & Accessories,Car & Bike Care,$118.00 ,1,0.01,$36.80 ,$3.70 ,High,12.3,1,0,0
NN-0077,Bruce Nunn,Home Office,Kozhikode,Kerala,India,Central Asia,Male,57,Doctorate,Married,AU-2024-77,2024/4/28,Apr,First Class,Auto & Accessories,Tyre,$250.00 ,4,0.03,$140.00 ,$14.00 ,Critical,17.1,1,0,0
ON-0078,Sherman Knutson,Corporate,Adelaide,South Australia,Australia,Oceania,Female,70,Doctorate,Married,AU-2024-78,2024/12/15,Dec,First Class,Auto & Accessories,Bike Tyres,$72.00 ,4,0.04,$18.00 ,$1.80 ,Critical,21.5,0,0,0
LL-0079,Gibson Carroll,Consumer,Kuala Lumpur,Kuala Lumpur,Malaysia,Southeast Asia,Male,27,Associate Degree,Married,AU-2024-79,2023/9/19,Sep,First Class,Auto & Accessories,Car Mat,$54.00 ,5,0.03,$10.80 ,$1.10 ,High,20,1,1,1
NS-0080,Perkins Cousins,Consumer,Columbus,Ohio,United States,East,Male,32,Bachelor,Married,AU-2024-80,2024/6/25,Jun,First Class,Auto & Accessories,Car Seat Covers,$114.00 ,1,0.05,$28.30 ,$2.80 ,Critical,24.1,1,1,1
NA-0025,Vasquez Dona,Consumer,Seville,Andalusía,Spain,South,Male,27,Associate Degree,Single,AU-2024-81,2023/1/19,Jan,First Class,Auto & Accessories,Car Pillow & Neck Rest,$231.00 ,1,0.03,$144.10 ,$14.40 ,High,14,0,0,1
SH-0082,Mann Hirsh,Corporate,Marikina,National Capital,Philippines,Southeast Asia,Female,39,Master,Single,AU-2024-82,2022/6/17,Jun,First Class,Auto & Accessories,Car Media Players,$140.00 ,1,0.01,$58.60 ,$5.90 ,High,13.6,0,1,0
ER-0083,Golden Ritter,Consumer,Dijon,Burgundy,France,Central,Female,32,Bachelor,Married,AU-2024-83,2023/11/15,Apr,First Class,Auto & Accessories,Car Speakers,$211.00 ,5,0.03,$99.40 ,$9.90 ,High,25.2,1,0,1
ON-0084,Walton Jackson,Consumer,Cairo,Al Qahirah,Egypt,Africa,Male,43,Doctorate,Married,AU-2024-84,2023/3/15,Jun,First Class,Auto & Accessories,Car Body Covers,$117.00 ,3,0.02,$30.00 ,$3.00 ,Critical,7.4,1,1,1
NI-0085,Blanchard Vittorini,Consumer,Detroit,Michigan,United States,Central,Male,22,High School,Single,AU-2024-85,2023/5/23,May,First Class,Auto & Accessories,Car & Bike Care,$118.00 ,2,0.04,$28.60 ,$2.90 ,High,12.2,1,1,1
LE-0086,Tucker Caudle,Consumer,New York City,New York,United States,East,Male,46,Doctorate,Single,AU-2024-86,2024/6/29,Jun,First Class,Auto & Accessories,Tyre,$250.00 ,4,0.05,$120.00 ,$12.00 ,Critical,8.8,0,0,1
EN-0087,Hodge Moren,Consumer,Burnley,England,United Kingdom,North,Male,70,Doctorate,Married,AU-2024-87,2022/3/28,Mar,First Class,Auto & Accessories,Bike Tyres,$72.00 ,2,0.02,$36.00 ,$3.60 ,High,17.1,1,1,1
EN-0088,Duncan Dahlen,Home Office,Laval,Pays de la Loire,France,Central,Male,45,Doctorate,Married,AU-2024-88,2023/12/15,May,First Class,Auto & Accessories,Car Mat,$54.00 ,2,0.03,$27.00 ,$2.70 ,Critical,7.7,0,0,0
ER-0089,Estrada Kiefer,Consumer,Buenos Aires,Buenos Aires,Argentina,South,Male,40,Master,Married,AU-2024-89,2022/3/24,Mar,First Class,Auto & Accessories,Car Seat Covers,$114.00 ,2,0.04,$24.90 ,$2.50 ,High,16,1,1,1
EN-0090,Miller Allen,Consumer,Kochi,Kerala,India,Central Asia,Male,25,High School,Single,AU-2024-90,2023/12/28,Dec,First Class,Auto & Accessories,Car Pillow & Neck Rest,$231.00 ,5,0.04,$104.80 ,$10.50 ,Critical,12.6,1,1,1
IS-0091,Riley Davis,Corporate,Maseru,Maseru,Lesotho,Africa,Male,27,Associate Degree,Single,AU-2024-91,2023/1/15,Jun,First Class,Auto & Accessories,Car Media Players,$140.00 ,1,0.04,$54.40 ,$5.40 ,High,3.2,1,1,1
LL-0092,Mcclain O'Donnell,Corporate,Matagalpa,Matagalpa,Nicaragua,Central,Male,21,Associate Degree,Married,AU-2024-92,2023/7/15,Sep,First Class,Auto & Accessories,Car Speakers,$211.00 ,3,0.01,$124.70 ,$12.50 ,Critical,5.8,1,0,0
EN-0093,Gardner Craven,Consumer,Managua,Managua,Nicaragua,Central,Male,37,Master,Married,AU-2024-93,2023/11/25,Nov,First Class,Auto & Accessories,Car Body Covers,$117.00 ,2,0.02,$32.30 ,$3.20 ,Critical,19,0,0,1
DE-0094,Fletcher Gnade,Corporate,Strasbourg,Alsace,France,Central,Female,23,High School,Single,AU-2024-94,2024/4/15,Jul,First Class,Auto & Accessories,Car & Bike Care,$118.00 ,4,0.04,$19.10 ,$1.90 ,Critical,9.5,1,0,0
ER-0095,Elliott Deggeller,Consumer,Surabaya,Jawa Timur,Indonesia,Southeast Asia,Male,24,High School,Married,AU-2024-95,2023/7/31,Jul,First Class,Auto & Accessories,Tyre,$250.00 ,4,0.03,$140.00 ,$14.00 ,High,16.2,1,1,1
ON-0096,Stokes Knudson,Consumer,Tupã,São Paulo,Brazil,South,Female,22,High School,Married,AU-2024-96,2022/10/15,Apr,First Class,Auto & Accessories,Bike Tyres,$72.00 ,,0.01,$36.00 ,$3.60 ,Critical,24.2,0,0,0
ON-0097,Hatfield Trafton,Consumer,Vienna,Vienna,Austria,Central,Male,48,Doctorate,Married,AU-2024-97,2024/1/24,Jan,First Class,Auto & Accessories,Car Mat,$54.00 ,5,0.02,$10.80 ,$1.10 ,High,17.1,0,0,1
ND-0098,Henry Chand,Consumer,Hirakata,Osaka,Japan,North Asia,Male,28,Associate Degree,Single,AU-2024-98,2024/5/15,Mar,First Class,Auto & Accessories,Car Seat Covers,$114.00 ,3,0.04,$20.30 ,$2.00 ,High,10.6,1,1,1
ND-0099,York Redmond,Home Office,Granollers,Catalonia,Spain,South,Female,60,Doctorate,Married,AU-2024-99,2022/2/15,Feb,First Class,Auto & Accessories,Car Pillow & Neck Rest,$231.00 ,2,0.02,$141.80 ,$14.20 ,Critical,10.4,0,0,1
CK-0017,Rivera Black,Consumer,Shouguang,Shandong,China,North Asia,Male,53,Doctorate,Single,AU-2024-100,2024/6/15,Aug,First Class,Auto & Accessories,Car Media Players,$140.00 ,1,0.01,$58.60 ,$5.90 ,Critical,15,1,0,0
RN-00101,Cook Bern,Consumer,Amsterdam,North Holland,Netherlands,Central,Male,21,Associate Degree,Single,AU-2024-101,2023/10/11,Oct,First Class,Auto & Accessories,Car Speakers,$211.00 ,5,0.03,$99.40 ,$9.90 ,Critical,3.2,1,0,1
LL-00102,Marshall Carroll,Consumer,Milpa Alta,Distrito Federal,Mexico,North,Male,26,Associate Degree,Single,AU-2024-102,2023/2/24,Feb,First Class,Auto & Accessories,Car Body Covers,$117.00 ,3,0.03,$26.50 ,$2.60 ,High,19.3,1,1,1
SE-00103,Blankenship Reese,Consumer,Los Angeles,California,United States,West,Male,29,Bachelor,Single,AU-2024-103,2023/7/22,Jul,First Class,Auto & Accessories,Car & Bike Care,$118.00 ,5,0.04,$14.40 ,$1.40 ,Critical,1.5,1,1,1
LO-0069,Sanford Zydlo,Corporate,London,England,United Kingdom,North,Male,52,Doctorate,Married,AU-2024-104,2023/6/15,Apr,First Class,Auto & Accessories,Tyre,$250.00 ,3,0.05,$132.50 ,$13.30 ,High,6.2,1,1,1
